Movie_name,release_year,rating,grade,types
Ran,1985,8.2,Not Rated,Action
The Sixth Sense,1999,8.2,A,Drama
El Laberinto Del Fauno,2006,8.2,R,Drama
Unforgiven,1992,8.2,A,Drama
No Country for Old Men,2007,8.2,18,Crime
The Thing,1982,8.2,A,Horror
A Beautiful Mind,2001,8.2,UA,Biography
Kill Bill: Vol. 1,2003,8.2,A,Action
The Treasure of the Sierra Madre,1948,8.2,Approved,Adventure
Yojimbo,1961,8.2,U,Action
The Great Escape,1963,8.2,U,Adventure
Finding Nemo,2003,8.2,U,Animation
Monty Python and the Holy Grail,1975,8.2,U,Adventure
Prisoners,2013,8.2,A,Crime
Howl's Moving Castle,2004,8.2,U,Animation
The Elephant Man,1980,8.2,UA,Biography
Rashōmon,1950,8.2,U,Crime
Dial M for Murder,1954,8.2,A,Crime
Chinatown,1974,8.1,UA,Drama
Gone with the Wind,1939,8.2,U,Drama
El Secreto De Sus Ojos,2009,8.2,R,Drama
"Lock, Stock and Two Smoking Barrels",1998,8.1,A,Action
Inside Out,2015,8.1,U,Animation
V for Vendetta,2005,8.1,UA,Action
"Three Billboards Outside Ebbing, Missouri",2017,8.1,A,Comedy
Raging Bull,1980,8.1,A,Biography
Trainspotting,1996,8.1,A,Drama
The Bridge on the River Kwai,1957,8.1,U,Adventure
Klaus,2019,8.2,7,Animation
Catch Me If You Can,2002,8.1,A,Biography
Fargo,1996,8.1,A,Crime
Warrior,2011,8.1,UA,Action
Spider-Man: No Way Home,2021,8.2,UA,Action
Gran Torino,2008,8.1,UA,Drama
Harry Potter and the Deathly Hallows: Part 2,2011,8.1,UA,Adventure
Million Dollar Baby,2004,8.1,UA,Drama
My Neighbour Totoro,1988,8.1,U,Animation
Mad Max: Fury Road,2015,8.1,UA,Action
Bacheha-Ye Aseman,1997,8.2,PG,Drama
Ben-Hur,1959,8.1,U,Adventure
12 Years a Slave,2013,8.1,A,Biography
Barry Lyndon,1975,8.1,U,Adventure
Before Sunrise,1995,8.1,16,Drama
Blade Runner,1982,8.1,UA,Action
The Grand Budapest Hotel,2014,8.1,UA,Adventure
Hacksaw Ridge,2016,8.1,A,Biography
Gone Girl,2014,8.1,A,Drama
Dead Poets Society,1989,8.1,U,Comedy
Maharaja,2024,8.5,na,Action
Salinui Chueok,2003,8.1,UA,Crime
In the Name of the Father,1993,8.1,UA,Biography
The Gold Rush,1925,8.1,Approved,Adventure
"Monsters, Inc.",2001,8.1,U,Animation
Relatos Salvajes,2014,8.1,18,Comedy
The Deer Hunter,1978,8.1,A,Drama
Ratatouille,2007,8.1,U,Animation
Sherlock Jr.,1924,8.2,Passed,Action
The General,1926,8.1,Passed,Action
Jaws,1975,8.1,A,Adventure
How to Train Your Dragon,2010,8.1,U,Animation
On the Waterfront,1954,8.1,A,Crime
Mary and Max,2009,8.1,U,Animation
Le Salaire De La Peur,1953,8.1,U,Adventure
Ford v. Ferrari,2019,8.1,UA,Action
Smultronstället,1957,8.1,U,Drama
Mr. Smith Goes to Washington,1939,8.1,U,Comedy
The Third Man,1949,8.1,U,Film-Noir
Logan,2017,8.1,A,Action
Rocky,1976,8.1,U,Drama
Tokyo Story,1953,8.1,U,Drama
The Big Lebowski,1998,8.1,UA,Comedy
Det Sjunde Inseglet,1957,8.1,A,Drama
Room,2015,8.1,U,Drama
Spotlight,2015,8.1,A,Biography
The Terminator,1984,8.1,A,Action
Hotel Rwanda,2004,8.1,UA,Biography
Platoon,1986,8.1,UA,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,UA,Action
La haine,1995,8.1,Not Rated,Crime
Before Sunset,2004,8.1,A,Drama
Jai Bhim,2021,8.7,A,Crime
La passion de Jeanne d'Arc,1928,8.1,Passed,Biography
The Best Years of Our Lives,1946,8.1,Approved,Drama
The Exorcist,1973,8.1,A,Horror
Rush,2013,8.1,R,Action
The Incredibles,2004,8,U,Animation
The Wizard of Oz,1939,8.1,U,Adventure
Network,1976,8.1,UA,Drama
Stand by Me,1986,8.1,U,Adventure
Hachi: A Dog's Tale,2009,8.1,U,Biography
The Sound of Music,1965,8.1,U,Biography
My Father and My Son,2005,8.2,Not Rated,Drama
Ah-ga-ssi,2016,8.1,A,Drama
To Be or Not to Be,1942,8.1,Approved,Comedy
Into the Wild,2007,8.1,U,Adventure
La battaglia di Algeri,1966,8.1,Not Rated,Drama
Groundhog Day,1993,8,U,Comedy
The Iron Giant,1999,8.1,U,Animation
The Grapes of Wrath,1940,8.1,Approved,Drama
Amores perros,2000,8,A,Drama
Rebecca,1940,8.1,Approved,Drama
The Help,2011,8.1,UA,Drama
Cool Hand Luke,1967,8.1,U,Crime
It Happened One Night,1934,8.1,Approved,Comedy
Gangs of Wasseypur,2012,8.2,A,Action
Laapataa Ladies,2023,8.4,TV-14,Comedy
Drishyam,2015,8.2,UA,Crime
